epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.178,1.72172,1.75549,1.30678,0.66544,0.16475,0.16642,0.0907,1.76571,1.76084,1.35866,0.00333174,0.00333174,0.0700143
2,1297.14,1.65562,1.54324,1.27596,0.62909,0.18761,0.22012,0.13408,1.59903,1.48439,1.24533,0.00653311,0.00653311,0.0398823
3,1941.82,1.58295,1.42545,1.23561,0.59983,0.21928,0.24639,0.15063,1.5158,1.31799,1.18665,0.00960247,0.00960247,0.00961836
4,2584.86,1.52612,1.34134,1.20436,0.55586,0.23221,0.2756,0.17402,1.45967,1.22703,1.1582,0.009406,0.009406,0.009406
5,3225.4,1.48479,1.26815,1.17865,0.5623,0.2952,0.29204,0.18484,1.41081,1.16245,1.13736,0.009208,0.009208,0.009208
6,3871.51,1.45113,1.22434,1.16385,0.53772,0.27833,0.30109,0.19204,1.38235,1.11254,1.11382,0.00901,0.00901,0.00901
7,4528.37,1.43018,1.1878,1.15261,0.60418,0.2834,0.3201,0.20606,1.36487,1.07378,1.10117,0.008812,0.008812,0.008812
8,5173.92,1.4146,1.16129,1.14298,0.55616,0.32943,0.32973,0.21303,1.3507,1.04649,1.09337,0.008614,0.008614,0.008614
9,5815.37,1.39614,1.13809,1.13537,0.5932,0.33049,0.33684,0.2186,1.33345,1.02995,1.08234,0.008416,0.008416,0.008416
10,6459.96,1.39263,1.11918,1.12898,0.64684,0.32365,0.35167,0.23199,1.32463,1.00905,1.07871,0.008218,0.008218,0.008218
11,7104.19,1.37678,1.1039,1.12239,0.62829,0.3435,0.35324,0.23124,1.31278,0.99635,1.0696,0.00802,0.00802,0.00802
12,7745.59,1.36909,1.08138,1.11499,0.63046,0.34692,0.35819,0.23348,1.30457,0.97487,1.06477,0.007822,0.007822,0.007822
13,8380.39,1.35696,1.06765,1.11025,0.54591,0.33958,0.35933,0.23393,1.29342,0.96348,1.05948,0.007624,0.007624,0.007624
14,9052.98,1.35349,1.06345,1.10702,0.67525,0.34644,0.37041,0.24355,1.28497,0.95099,1.05521,0.007426,0.007426,0.007426
15,9734.72,1.34263,1.05069,1.10229,0.66681,0.35594,0.37083,0.24347,1.28112,0.94478,1.05279,0.007228,0.007228,0.007228
16,10403.3,1.33411,1.03583,1.09765,0.67887,0.34849,0.38583,0.25488,1.27274,0.93453,1.0486,0.00703,0.00703,0.00703
17,11073.4,1.33069,1.02618,1.0931,0.65467,0.36222,0.37826,0.24776,1.26876,0.92248,1.04432,0.006832,0.006832,0.006832
18,11738.8,1.32087,1.01444,1.09124,0.67727,0.36047,0.384,0.25315,1.264,0.91433,1.04205,0.006634,0.006634,0.006634
19,12431.2,1.31766,1.00683,1.08835,0.65329,0.37168,0.3821,0.25014,1.26,0.90765,1.0398,0.006436,0.006436,0.006436
20,13110.7,1.30833,0.99627,1.08451,0.66985,0.36806,0.39655,0.26391,1.25529,0.90303,1.03607,0.006238,0.006238,0.006238
21,13758.7,1.30414,0.98775,1.08042,0.69138,0.36983,0.39379,0.26014,1.25238,0.89686,1.03507,0.00604,0.00604,0.00604
22,14445.2,1.30029,0.98474,1.0782,0.70958,0.36767,0.3963,0.26114,1.2487,0.8924,1.03294,0.005842,0.005842,0.005842
23,15115.5,1.29325,0.97475,1.07349,0.68992,0.37514,0.40283,0.26772,1.24514,0.88862,1.03023,0.005644,0.005644,0.005644
24,15787.7,1.28646,0.96702,1.07231,0.66955,0.38138,0.39748,0.2619,1.24305,0.88457,1.02905,0.005446,0.005446,0.005446
25,16856.6,1.28628,0.9632,1.07027,0.67458,0.37887,0.39704,0.2618,1.24104,0.88152,1.02776,0.005248,0.005248,0.005248
26,17693.5,1.27848,0.95393,1.0671,0.68568,0.37524,0.40023,0.26315,1.23863,0.87853,1.02608,0.00505,0.00505,0.00505
27,18355.6,1.278,0.95329,1.06652,0.69071,0.36597,0.40281,0.26544,1.23601,0.87564,1.02485,0.004852,0.004852,0.004852
28,19027.9,1.27345,0.94748,1.06469,0.67562,0.3857,0.40515,0.26599,1.23417,0.87318,1.0237,0.004654,0.004654,0.004654
